book_id,author_id,category_id,cover,created_at,description,is_free,is_member_only,is_published,isbn,price,publish_date,publisher,rating,read_count,tags,title,updated_at,word_count
39,35,2,39_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2016-01-01, ,0,0,,给青年诗人的信,2026-01-11 17:16:57,59818
40,36,2,40_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2019-01-31T16:00:00+00:00,,0,0,,被淹没与被拯救的,2026-01-11 17:16:57,54045
41,27,2,41_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787533927585,0,2010-02-28T16:00:00+00:00,,0,0,,边城,2026-01-11 17:16:57,74936
42,37,2,42_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2006-04-30T16:00:00+00:00,,0,0,,追风筝的人,2026-01-11 17:16:57,115594
43,38,2,43_cover.jpeg,2026-01-11 17:16:57,<p>这是一本“自由女性”安娜的成长记录，由一个故事、五本笔记构成。通过这部“跨国度的百科全书”，莱辛描摹了整个表面平平淡淡、骨子里混乱无序的世界。每部分之间依次插入黑、红、黄、蓝四种笔记，涉及殖民主义、种族主义与男女间的爱情，兼具感情与知性。莱辛曾声称，《金色笔记》是“一次突破形式的尝试，一次突破某些意识观念并予以超越的尝试。”</p>,true,false,true,,0,2008-04-30T16:00:00+00:00,译林出版社,0,0,,金色笔记(典藏本)(百读文库),2026-01-11 17:16:57,74691
44,39,2,44_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2016-12-31T16:00:00+00:00,,0,0,,长安十二时辰（上下册）,2026-01-11 17:16:57,124149
45,40,2,45_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787542664730,0,2019-04-04T16:00:00+00:00,上海三联书店,0,0,,闲话闲说：中国世俗与中国小说（出版二十周年纪念版）,2026-01-11 17:16:57,11612
46,41,2,46_cover.jpg,2026-01-11 17:16:57,,true,false,true,,0,2015-06,上海译文出版社,0,0,,阿莱夫,2026-01-11 17:16:57,66696
47,42,2,47_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2011-08-31T16:00:00+00:00,陕西师范大学出版总社有限公司,0,0,,雷雨 (曹禺经典戏剧集),2026-01-11 17:16:57,32459
48,43,2,48_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2020-03-31T16:00:00+00:00,上海译文出版社,0,0,,鞋带【上海译文出品！意大利版《婚姻故事》，暴露婚姻生活压抑和疼痛，直击生活痛点，那不勒斯四部曲译者最新译作】,2026-01-11 17:16:57,25984
49,44,2,49_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787220107597,0,2018-06-30T16:00:00+00:00,成都：四川人民出版社,0,0,,鞑靼人沙漠（“意大利卡夫卡”迪诺·布扎蒂巅峰之作，入选博尔赫斯《私人藏书》、法国《理想藏书》、《世界报》20世纪百本好书。）,2026-01-11 17:16:57,122239
50,45,2,50_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2012-05-31T16:00:00+00:00,人民文学出版社,0,0,,骆驼祥子 (中国现代长篇小说藏本),2026-01-11 17:16:57,121149
51,46,1,51_cover.jpg,2026-01-11 17:16:57,,true,false,true,,0,2022-10-22,,0,0,,七堂极简物理课,2026-01-11 17:16:57,27692
52,47,1,52_cover.jpg,2026-01-11 17:16:57,,true,false,true,,0,2005-02-01,接力出版社,0,0,,万物简史（《罗辑思维》罗振宇鼎力推荐，原北京大学校长许智宏作序。为万物写史，为宇宙立传，用知识和趣味击穿现实，抵达自由。）（中文简体版销量超过100万册。） （A Short History of Nearly Everything）,2026-01-11 17:16:57,160157
53,48,1,53_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787521705485,0,2019-06-30T16:00:00+00:00,中信出版集团,0,0,,世界边缘的秘密：科学对生命的惊人回答,2026-01-11 17:16:57,77292
